"Kreis";"Anteil (< 18 J.) (ARS)";"Anteil (< 18 J.) (Kreis)";"Anteil (< 18 J.) (Ins)";"Anteil (< 18 J.) (Abs)";"Anteil (< 18 J.) (value)"
154;"07231";"Bernkastel-Wittlich";113194;18594;16.4
155;"07232";"Bitburg-Prüm";100959;17211;17
156;"07233";"Vulkaneifel";60882;9269;15.2
157;"07235";"Trier-Saarburg";151167;25855;17.1
158;"07311";"Frankenthal(Pfalz),Stadt";48773;8434;17.3
159;"07312";"Kaiserslautern,Stadt";99292;15183;15.3
160;"07313";"LandauinderPfalz,Stadt";46919;7192;15.3
161;"07314";"LudwigshafenamRhein,Stadt";172145;32366;18.8
162;"07315";"Mainz,Stadt";217556;32543;15
163;"07316";"NeustadtanderWeinstraße,Stadt";53491;8688;16.2
164;"07317";"Pirmasens,Stadt";40054;6203;15.5
165;"07318";"Speyer,Stadt";50565;8077;16
166;"07319";"Worms,Stadt";83850;14760;17.6
167;"07320";"Zweibrücken,Stadt";34091;5306;15.6
168;"07331";"Alzey-Worms";131330;22784;17.3
169;"07332";"BadDürkheim";133206;21001;15.8
170;"07333";"Donnersbergkreis";75569;12656;16.7
171;"07334";"Germersheim";129313;22300;17.2
172;"07335";"Kaiserslautern,Landkreis";106853;19632;18.4
173;"07336";"Kusel";69949;11076;15.8
174;"07337";"SüdlicheWeinstraße";111279;17827;16
175;"07338";"Rhein-Pfalz-Kreis";155050;26726;17.2
176;"07339";"Mainz-Bingen";212420;37068;17.5
177;"07340";"Südwestpfalz";94819;13862;14.6
178;"08111";"Stuttgart,Stadt";626275;97065;15.5
179;"08115";"Böblingen";393195;71565;18.2
180;"08116";"Esslingen";533388;91182;17.1
181;"08117";"Göppingen";259046;44700;17.3
182;"08118";"Ludwigsburg";544679;96980;17.8
183;"08119";"Rems-Murr-Kreis";427316;74225;17.4
184;"08121";"Heilbronn,Stadt";125613;22402;17.8
185;"08125";"Heilbronn";347798;62058;17.8
186;"08126";"Hohenlohekreis";113318;19872;17.5
187;"08127";"SchwäbischHall";199398;35929;18
188;"08128";"Main-Tauber-Kreis";132956;21849;16.4
189;"08135";"Heidenheim";132958;23020;17.3
190;"08136";"Ostalbkreis";315009;54260;17.2
191;"08211";"Baden-Baden,Stadt";55527;8342;15
192;"08212";"Karlsruhe,Stadt";306502;44107;14.4
193;"08215";"Karlsruhe";448487;75802;16.9
194;"08216";"Rastatt";232296;38449;16.6
195;"08221";"Heidelberg,Stadt";159245;23472;14.7
196;"08222";"Mannheim,Stadt";311831;48848;15.7
197;"08225";"Neckar-Odenwald-Kreis";143929;23954;16.6
198;"08226";"Rhein-Neckar-Kreis";549030;93682;17.1
199;"08231";"Pforzheim,Stadt";125529;23126;18.4
200;"08235";"Calw";160686;27993;17.4
201;"08236";"Enzkreis";200237;34988;17.5
202;"08237";"Freudenstadt";119183;20535;17.2
203;"08311";"FreiburgimBreisgau,Stadt";231848;36987;16
204;"08315";"Breisgau-Hochschwarzwald";265792;46577;17.5
205;"08316";"Emmendingen";167945;29525;17.6
206;"08317";"Ortenaukreis";434535;75946;17.5
207;"08325";"Rottweil";140446;25109;17.9
208;"08326";"Schwarzwald-Baar-Kreis";213385;36744;17.2
209;"08327";"Tuttlingen";142414;26859;18.9
210;"08335";"Konstanz";288097;47752;16.6
211;"08336";"Lörrach";229445;40924;17.8
212;"08337";"Waldshut";171249;30349;17.7
213;"08415";"Reutlingen";288158;50606;17.6
214;"08416";"Tübingen";229806;38813;16.9
215;"08417";"Zollernalbkreis";190545;31832;16.7
216;"08421";"Ulm,Stadt";126949;20596;16.2
217;"08425";"Alb-Donau-Kreis";199732;36806;18.4
218;"08426";"Biberach";203244;38141;18.8
219;"08435";"Bodenseekreis";218885;36643;16.7
220;"08436";"Ravensburg";287011;50767;17.7
221;"08437";"Sigmaringen";131725;22894;17.4
222;"09161";"Ingolstadt,Stadt";138016;24016;17.4
223;"09162";"München,Stadt";1487708;240600;16.2
224;"09163";"Rosenheim,Stadt";63508;10556;16.6
225;"09171";"Altötting";112116;19349;17.3
226;"09172";"BerchtesgadenerLand";106389;16716;15.7
227;"09173";"BadTölz-Wolfratshausen";127919;22156;17.3
228;"09174";"Dachau";155449;27916;18
229;"09175";"Ebersberg";144562;27192;18.8
230;"09176";"Eichstätt";133634;25557;19.1
231;"09177";"Erding";139622;25184;18
232;"09178";"Freising";181144;31932;17.6
233;"09179";"Fürstenfeldbruck";218579;38779;17.7
234;"09180";"Garmisch-Partenkirchen";88232;13515;15.3
235;"09181";"Landsberga.Lech";121466;21510;17.7
236;"09182";"Miesbach";99978;16686;16.7
237;"09183";"Mühldorfa.Inn";117606;20426;17.4
238;"09184";"München";349837;64035;18.3
239;"09185";"Neuburg-Schrobenhausen";98503;17794;18.1
240;"09186";"Pfaffenhofena.d.Ilm";129772;23374;18
241;"09187";"Rosenheim";263367;45243;17.2
242;"09188";"Starnberg";136747;24458;17.9
243;"09189";"Traunstein";178447;29381;16.5
244;"09190";"Weilheim-Schongau";136642;23973;17.5
245;"09261";"Landshut,Stadt";73150;11684;16
246;"09262";"Passau,Stadt";53093;7110;13.4
247;"09263";"Straubing,Stadt";47854;7076;14.8
248;"09271";"Deggendorf";120521;19091;15.8
249;"09272";"Freyung-Grafenau";78632;11922;15.2
250;"09273";"Kelheim";123899;22146;17.9
251;"09274";"Landshut";162331;29405;18.1
252;"09275";"Passau";194090;30800;15.9
253;"09276";"Regen";77176;12023;15.6
254;"09277";"Rottal-Inn";122252;19981;16.3
255;"09278";"Straubing-Bogen";102398;17811;17.4
256;"09279";"Dingolfing-Landau";98045;16502;16.8
257;"09361";"Amberg,Stadt";41994;6412;15.3
258;"09362";"Regensburg,Stadt";153542;22505;14.7
259;"09363";"WeideninderOberpfalz,Stadt";42472;6370;15
260;"09371";"Amberg-Sulzbach";103277;16902;16.4
261;"09372";"Cham";128444;20601;16
262;"09373";"NeumarktinderOberpfalz";136062;23501;17.3
263;"09374";"NeustadtanderWaldnaab";94838;15862;16.7
264;"09375";"Regensburg";195225;34361;17.6
265;"09376";"Schwandorf";149239;24349;16.3
266;"09377";"Tirschenreuth";71648;11091;15.5
267;"09461";"Bamberg,Stadt";77749;11553;14.9
268;"09462";"Bayreuth,Stadt";73909;9683;13.1
269;"09463";"Coburg,Stadt";40955;5936;14.5
270;"09464";"Hof,Stadt";45125;7172;15.9
271;"09471";"Bamberg";147697;25435;17.2
272;"09472";"Bayreuth";103648;16660;16.1
273;"09473";"Coburg";86544;13636;15.8
274;"09474";"Forchheim";116753;19784;16.9
275;"09475";"Hof";93907;13737;14.6
276;"09476";"Kronach";66091;9127;13.8
277;"09477";"Kulmbach";71328;10323;14.5
278;"09478";"Lichtenfels";66741;10315;15.5
279;"09479";"WunsiedelimFichtelgebirge";71482;10456;14.6
280;"09561";"Ansbach,Stadt";41662;7053;16.9
281;"09562";"Erlangen,Stadt";113292;17774;15.7
282;"09563";"Fürth,Stadt";129122;21261;16.5
283;"09564";"Nürnberg,Stadt";510632;83057;16.3
284;"09565";"Schwabach,Stadt";41146;7072;17.2
285;"09571";"Ansbach";186279;32248;17.3
286;"09572";"Erlangen-Höchstadt";139323;25328;18.2
287;"09573";"Fürth";119432;20193;16.9
288;"09574";"NürnbergerLand";171424;28620;16.7
289;"09575";"NeustadtanderAisch-BadWinsheim";101788;17154;16.9
290;"09576";"Roth";127520;21612;16.9
291;"09577";"Weißenburg-Gunzenhausen";95523;16208;17
292;"09661";"Aschaffenburg,Stadt";71381;11416;16
293;"09662";"Schweinfurt,Stadt";53585;8773;16.4
294;"09663";"Würzburg,Stadt";126933;16374;12.9
295;"09671";"Aschaffenburg";174965;28875;16.5
296;"09672";"BadKissingen";103454;16007;15.5
297;"09673";"Rhön-Grabfeld";79376;13048;16.4
298;"09674";"Haßberge";84284;13945;16.5
299;"09675";"Kitzingen";91980;15331;16.7
300;"09676";"Miltenberg";128782;21310;16.5
301;"09677";"Main-Spessart";126105;19748;15.7
302;"09678";"Schweinfurt";116134;19467;16.8
303;"09679";"Würzburg";163534;27911;17.1
304;"09761";"Augsburg,Stadt";296478;46144;15.6
305;"09762";"Kaufbeuren,Stadt";45118;7659;17
306;"09763";"Kempten(Allgäu),Stadt";69053;10920;15.8
307;"09764";"Memmingen,Stadt";44721;7578;16.9
308;"09771";"Aichach-Friedberg";135538;24711;18.2
309;"09772";"Augsburg";257790;46524;18
310;"09773";"DillingenanderDonau";97985;17176;17.5
311;"09774";"Günzburg";128436;22410;17.4
312;"09775";"Neu-Ulm";177330;30863;17.4
313;"09776";"Lindau(Bodensee)";82330;13509;16.4
314;"09777";"Ostallgäu";143236;25439;17.8
315;"09778";"Unterallgäu";147776;25636;17.3
316;"09779";"Donau-Ries";134986;23438;17.4
317;"09780";"Oberallgäu";157202;26111;16.6
318;"10041";"RegionalverbandSaarbrücken";327284;49703;15.2
319;"10042";"Merzig-Wadern";103426;15704;15.2
320;"10043";"Neunkirchen";130847;19655;15
321;"10044";"Saarlouis";193661;29491;15.2
322;"10045";"Saarpfalz-Kreis";140960;20854;14.8
323;"10046";"St.Wendel";86170;12261;14.2
324;"11000";"Berlin(BL)";3677472;617623;16.8
325;"12051";"BrandenburganderHavel,Stadt";72461;10649;14.7
326;"12052";"Cottbus,Stadt";98359;14569;14.8
327;"12053";"Frankfurt(Oder),Stadt";56679;8210;14.5
328;"12054";"Potsdam,Stadt";183154;32635;17.8
329;"12060";"Barnim";188835;31529;16.7
330;"12061";"Dahme-Spreewald";175834;29171;16.6
331;"12062";"Elbe-Elster";100317;14582;14.5
332;"12063";"Havelland";165906;28295;17.1
333;"12064";"Märkisch-Oderland";197965;32566;16.5
334;"12065";"Oberhavel";215795;36011;16.7
335;"12066";"Oberspreewald-Lausitz";107558;15404;14.3
336;"12067";"Oder-Spree";179245;28174;15.7
337;"12068";"Ostprignitz-Ruppin";98829;14875;15.1
338;"12069";"Potsdam-Mittelmark";219521;38367;17.5
339;"12070";"Prignitz";75574;10660;14.1
340;"12071";"Spree-Neiße";111955;16305;14.6
341;"12072";"Teltow-Fläming";172545;29085;16.9
342;"12073";"Uckermark";117336;17156;14.6
343;"13003";"Rostock,Stadt";208400;29596;14.2
344;"13004";"Schwerin,Stadt";95740;15290;16
345;"13071";"MecklenburgischeSeenplatte";257525;39172;15.2
346;"13072";"Rostock";217796;36559;16.8
347;"13073";"Vorpommern-Rügen";225900;33045;14.6
348;"13074";"Nordwestmecklenburg";158449;25328;16
349;"13075";"Vorpommern-Greifswald";235451;35069;14.9
350;"13076";"Ludwigslust-Parchim";211899;33386;15.8
351;"14511";"Chemnitz,Stadt";243105;37622;15.5
352;"14521";"Erzgebirgskreis";328695;51313;15.6
353;"14522";"Mittelsachsen";299329;46476;15.5
354;"14523";"Vogtlandkreis";221376;32241;14.6
355;"14524";"Zwickau";309621;46604;15.1
356;"14612";"Dresden,Stadt";555351;95349;17.2
357;"14625";"Bautzen";296290;48531;16.4
358;"14626";"Görlitz";248273;37983;15.3
359;"14627";"Meißen";239344;39136;16.4
360;"14628";"SächsischeSchweiz-Osterzgebirge";244009;41489;17
361;"14713";"Leipzig,Stadt";601866;97597;16.2
362;"14729";"Leipzig,Landkreis";258214;42648;16.5
363;"14730";"Nordsachsen";197529;31802;16.1
364;"15001";"Dessau-Roßlau,Stadt";78731;10722;13.6
365;"15002";"Halle(Saale),Stadt";238061;38085;16
366;"15003";"Magdeburg,Stadt";236188;36125;15.3
367;"15081";"AltmarkkreisSalzwedel";81986;12838;15.7
368;"15082";"Anhalt-Bitterfeld";155900;22117;14.2
369;"15083";"Börde";170106;27373;16.1
370;"15084";"Burgenlandkreis";176333;25789;14.6
371;"15085";"Harz";209117;29528;14.1
372;"15086";"JerichowerLand";89118;13643;15.3
373;"15087";"Mansfeld-Südharz";132317;18336;13.9
374;"15088";"Saalekreis";182814;28917;15.8
375;"15089";"Salzlandkreis";185495;26949;14.5
376;"15090";"Stendal";109746;16536;15.1
377;"15091";"Wittenberg";123341;17760;14.4
378;"16051";"Erfurt,Stadt";213227;33986;15.9
379;"16052";"Gera,Stadt";91368;13304;14.6
380;"16053";"Jena,Stadt";110502;17297;15.7
381;"16054";"Suhl,Stadt";36054;4545;12.6
382;"16055";"Weimar,Stadt";65138;10645;16.3
383;"16061";"Eichsfeld";99324;17277;17.4
384;"16062";"Nordhausen";81687;12455;15.2
385;"16063";"Wartburgkreis";158900;24310;15.3
386;"16064";"Unstrut-Hainich-Kreis";101269;16686;16.5
387;"16065";"Kyffhäuserkreis";72964;10682;14.6
388;"16066";"Schmalkalden-Meiningen";123404;18347;14.9
389;"16067";"Gotha";133825;20824;15.6
390;"16068";"Sömmerda";68717;11008;16
391;"16069";"Hildburghausen";62089;9389;15.1
392;"16070";"Ilm-Kreis";105367;16041;15.2
393;"16071";"WeimarerLand";82103;14111;17.2
394;"16072";"Sonneberg";56504;7674;13.6
395;"16073";"Saalfeld-Rudolstadt";100969;14276;14.1
396;"16074";"Saale-Holzland-Kreis";82513;12845;15.6
397;"16075";"Saale-Orla-Kreis";79030;11933;15.1
398;"16076";"Greiz";96102;13961;14.5
399;"16077";"AltenburgerLand";87807;12329;14
