"Görlitz;""10.320"";""5.890"";""4.430"";""43"""
"Goslar;""4.690"";""3.290"";""1.410"";""30"""
"Gotha;""4.000"";""2.820"";""1.180"";""29"""
"Göttingen;""10.320"";""6.120"";""4.200"";""41"""
"Grafschaft Bentheim;""2.560"";""1.990"";""570"";""22"""
"Greiz;""2.600"";""1.880"";""720"";""28"""
"Groß-Gerau;""8.160"";""5.420"";""2.740"";""34"""
"Günzburg;""1.670"";""1.390"";""290"";""17"""
"Gütersloh;""8.890"";""5.700"";""3.190"";""36"""
"Hagen, Stadt der FernUniversität;""11.620"";""6.070"";""5.550"";""48"""
"Halle (Saale), Stadt;""11.210"";""7.410"";""3.810"";""34"""
"Hamburg, Freie und Hansestadt;""78.810"";""55.100"";""23.710"";""30"""
"Hameln-Pyrmont;""5.660"";""3.650"";""2.000"";""35"""
"Hamm, Stadt;""7.900"";""4.230"";""3.670"";""46"""
"Harburg;""6.650"";""4.730"";""1.920"";""29"""
"Harz;""5.950"";""3.930"";""2.030"";""34"""
"Haßberge;""1.510"";""1.160"";""360"";""24"""
"Havelland;""5.160"";""3.240"";""1.920"";""37"""
"Heidekreis;""5.010"";""2.980"";""2.040"";""41"""
"Heidelberg, Stadt;""3.950"";""2.690"";""1.260"";""32"""
"Heidenheim;""3.010"";""2.220"";""790"";""26"""
"Heilbronn;""6.610"";""4.740"";""1.870"";""28"""
"Heilbronn, Universitätsstadt;""3.760"";""2.760"";""1.000"";""27"""
"Heinsberg;""7.340"";""5.030"";""2.310"";""31"""
"Helmstedt;""2.950"";""1.840"";""1.120"";""38"""
"Herford;""7.800"";""5.120"";""2.680"";""34"""
"Herne, Stadt;""9.000"";""5.580"";""3.420"";""38"""
"Hersfeld-Rotenburg;""2.640"";""1.780"";""860"";""33"""
"Herzogtum Lauenburg;""5.740"";""3.730"";""2.010"";""35"""
"Hildburghausen;""1.410"";""1.020"";""390"";""28"""
"Hildesheim;""10.360"";""6.130"";""4.230"";""41"""
"Hochsauerlandkreis;""6.380"";""4.170"";""2.210"";""35"""
"Hochtaunuskreis;""5.170"";""3.040"";""2.130"";""41"""
"Hof;""2.000"";""1.570"";""430"";""22"""
"Hof, Stadt;""1.530"";""1.220"";""310"";""20"""
"Hohenlohekreis;""2.060"";""1.450"";""620"";""30"""
"Holzminden;""2.630"";""1.750"";""880"";""34"""
"Höxter;""3.260"";""2.450"";""810"";""25"""
"Ilm-Kreis;""2.950"";""2.140"";""810"";""27"""
"Ingolstadt, Stadt;""2.910"";""2.250"";""660"";""23"""
"Jena, Stadt;""3.150"";""2.060"";""1.090"";""35"""
"Jerichower Land;""3.420"";""2.190"";""1.220"";""36"""
"Kaiserslautern;""2.870"";""1.940"";""930"";""32"""
"Kaiserslautern, kreisfreie Stadt;""4.290"";""2.810"";""1.480"";""35"""
"Karlsruhe;""8.930"";""6.780"";""2.140"";""24"""
"Karlsruhe, Stadt;""7.810"";""5.500"";""2.310"";""30"""
"Kassel;""5.890"";""4.220"";""1.670"";""28"""
"Kassel, documenta-Stadt;""9.150"";""6.420"";""2.730"";""30"""
"Kaufbeuren, Stadt;""1.100"";""760"";""340"";""31"""
