"Kreis";"Anteil (>= 80 J.) (ARS)";"Anteil (>= 80 J.) (Kreis)";"Anteil (>= 80 J.) (Ins)";"Anteil (>= 80 J.) (Abs)";"Anteil (>= 80 J.) (value)"
199;"08231";"Pforzheim,Stadt";125529;8890;7.1
200;"08235";"Calw";160686;11353;7.1
201;"08236";"Enzkreis";200237;14609;7.3
202;"08237";"Freudenstadt";119183;8474;7.1
203;"08311";"FreiburgimBreisgau,Stadt";231848;13376;5.8
204;"08315";"Breisgau-Hochschwarzwald";265792;19920;7.5
205;"08316";"Emmendingen";167945;11694;7
206;"08317";"Ortenaukreis";434535;31182;7.2
207;"08325";"Rottweil";140446;10243;7.3
208;"08326";"Schwarzwald-Baar-Kreis";213385;16764;7.9
209;"08327";"Tuttlingen";142414;9611;6.7
210;"08335";"Konstanz";288097;21277;7.4
211;"08336";"Lörrach";229445;16184;7.1
212;"08337";"Waldshut";171249;12290;7.2
213;"08415";"Reutlingen";288158;20950;7.3
214;"08416";"Tübingen";229806;13389;5.8
215;"08417";"Zollernalbkreis";190545;14601;7.7
216;"08421";"Ulm,Stadt";126949;8062;6.4
217;"08425";"Alb-Donau-Kreis";199732;13076;6.5
218;"08426";"Biberach";203244;12691;6.2
219;"08435";"Bodenseekreis";218885;17017;7.8
220;"08436";"Ravensburg";287011;18947;6.6
221;"08437";"Sigmaringen";131725;9166;7
222;"09161";"Ingolstadt,Stadt";138016;8718;6.3
223;"09162";"München,Stadt";1487708;86690;5.8
224;"09163";"Rosenheim,Stadt";63508;4192;6.6
225;"09171";"Altötting";112116;8194;7.3
226;"09172";"BerchtesgadenerLand";106389;8697;8.2
227;"09173";"BadTölz-Wolfratshausen";127919;9509;7.4
228;"09174";"Dachau";155449;9625;6.2
229;"09175";"Ebersberg";144562;9572;6.6
230;"09176";"Eichstätt";133634;7866;5.9
231;"09177";"Erding";139622;7577;5.4
232;"09178";"Freising";181144;9196;5.1
233;"09179";"Fürstenfeldbruck";218579;16764;7.7
234;"09180";"Garmisch-Partenkirchen";88232;7975;9
235;"09181";"Landsberga.Lech";121466;7923;6.5
236;"09182";"Miesbach";99978;7874;7.9
237;"09183";"Mühldorfa.Inn";117606;7267;6.2
238;"09184";"München";349837;26209;7.5
239;"09185";"Neuburg-Schrobenhausen";98503;6069;6.2
240;"09186";"Pfaffenhofena.d.Ilm";129772;7591;5.8
241;"09187";"Rosenheim";263367;18425;7
242;"09188";"Starnberg";136747;11405;8.3
243;"09189";"Traunstein";178447;13705;7.7
244;"09190";"Weilheim-Schongau";136642;10035;7.3
245;"09261";"Landshut,Stadt";73150;5122;7
246;"09262";"Passau,Stadt";53093;3788;7.1
247;"09263";"Straubing,Stadt";47854;3353;7
248;"09271";"Deggendorf";120521;7491;6.2
249;"09272";"Freyung-Grafenau";78632;5297;6.7
250;"09273";"Kelheim";123899;7314;5.9
251;"09274";"Landshut";162331;9314;5.7
252;"09275";"Passau";194090;13392;6.9
253;"09276";"Regen";77176;5300;6.9
254;"09277";"Rottal-Inn";122252;8456;6.9
255;"09278";"Straubing-Bogen";102398;6190;6
256;"09279";"Dingolfing-Landau";98045;5878;6
257;"09361";"Amberg,Stadt";41994;3488;8.3
258;"09362";"Regensburg,Stadt";153542;9058;5.9
