"Kreis";"Anteil (60-70 J.) (ARS)";"Anteil (60-70 J.) (Kreis)";"Anteil (60-70 J.) (Ins)";"Anteil (60-70 J.) (Abs)";"Anteil (60-70 J.) (value)"
372;"15086";"JerichowerLand";89118;15596;17.5
373;"15087";"Mansfeld-Südharz";132317;23739;17.9
374;"15088";"Saalekreis";182814;30032;16.4
375;"15089";"Salzlandkreis";185495;31299;16.9
376;"15090";"Stendal";109746;19397;17.7
377;"15091";"Wittenberg";123341;21843;17.7
378;"16051";"Erfurt,Stadt";213227;27581;12.9
379;"16052";"Gera,Stadt";91368;15359;16.8
380;"16053";"Jena,Stadt";110502;11640;10.5
381;"16054";"Suhl,Stadt";36054;6260;17.4
382;"16055";"Weimar,Stadt";65138;8201;12.6
383;"16061";"Eichsfeld";99324;15624;15.7
384;"16062";"Nordhausen";81687;13158;16.1
385;"16063";"Wartburgkreis";158900;26060;16.4
386;"16064";"Unstrut-Hainich-Kreis";101269;16807;16.6
387;"16065";"Kyffhäuserkreis";72964;13164;18
388;"16066";"Schmalkalden-Meiningen";123404;21047;17.1
389;"16067";"Gotha";133825;21296;15.9
390;"16068";"Sömmerda";68717;11749;17.1
391;"16069";"Hildburghausen";62089;10732;17.3
392;"16070";"Ilm-Kreis";105367;16223;15.4
393;"16071";"WeimarerLand";82103;13474;16.4
394;"16072";"Sonneberg";56504;9887;17.5
395;"16073";"Saalfeld-Rudolstadt";100969;17898;17.7
396;"16074";"Saale-Holzland-Kreis";82513;13680;16.6
397;"16075";"Saale-Orla-Kreis";79030;13876;17.6
398;"16076";"Greiz";96102;17583;18.3
399;"16077";"AltenburgerLand";87807;15203;17.3
